year,state,pres_elect
2006,West Virginia,REPUBLICAN (56.07%)
2007,West Virginia,REPUBLICAN (56.07%)
2008,West Virginia,REPUBLICAN (55.71%)
2009,West Virginia,REPUBLICAN (55.71%)
2010,West Virginia,REPUBLICAN (55.71%)
2011,West Virginia,REPUBLICAN (55.71%)
2012,West Virginia,REPUBLICAN (62.3%)
2013,West Virginia,REPUBLICAN (62.3%)
2014,West Virginia,REPUBLICAN (62.3%)
2015,West Virginia,REPUBLICAN (62.3%)
2016,West Virginia,REPUBLICAN (68.63%)
2017,West Virginia,REPUBLICAN (68.63%)
2018,West Virginia,REPUBLICAN (68.63%)
2019,West Virginia,REPUBLICAN (68.63%)
2020,West Virginia,REPUBLICAN (68.63%)
1976,Wisconsin,DEMOCRAT (49.5%)
1977,Wisconsin,DEMOCRAT (49.5%)
1978,Wisconsin,DEMOCRAT (49.5%)
1979,Wisconsin,DEMOCRAT (49.5%)
1980,Wisconsin,REPUBLICAN (47.9%)
1981,Wisconsin,REPUBLICAN (47.9%)
1982,Wisconsin,REPUBLICAN (47.9%)
1983,Wisconsin,REPUBLICAN (47.9%)
1984,Wisconsin,REPUBLICAN (54.19%)
1985,Wisconsin,REPUBLICAN (54.19%)
1986,Wisconsin,REPUBLICAN (54.19%)
1987,Wisconsin,REPUBLICAN (54.19%)
1988,Wisconsin,DEMOCRAT (51.41%)
1989,Wisconsin,DEMOCRAT (51.41%)
1990,Wisconsin,DEMOCRAT (51.41%)
1991,Wisconsin,DEMOCRAT (51.41%)
1992,Wisconsin,DEMOCRAT (41.13%)
1993,Wisconsin,DEMOCRAT (41.13%)
1994,Wisconsin,DEMOCRAT (41.13%)
1995,Wisconsin,DEMOCRAT (41.13%)
1996,Wisconsin,DEMOCRAT (48.81%)
1997,Wisconsin,DEMOCRAT (48.81%)
1998,Wisconsin,DEMOCRAT (48.81%)
1999,Wisconsin,DEMOCRAT (48.81%)
2000,Wisconsin,DEMOCRAT (47.83%)
2001,Wisconsin,DEMOCRAT (47.83%)
2002,Wisconsin,DEMOCRAT (47.83%)
2003,Wisconsin,DEMOCRAT (47.83%)
2004,Wisconsin,DEMOCRAT (49.7%)
2005,Wisconsin,DEMOCRAT (49.7%)
2006,Wisconsin,DEMOCRAT (49.7%)
2007,Wisconsin,DEMOCRAT (49.7%)
2008,Wisconsin,DEMOCRAT (56.22%)
2009,Wisconsin,DEMOCRAT (56.22%)
2010,Wisconsin,DEMOCRAT (56.22%)
2011,Wisconsin,DEMOCRAT (56.22%)
2012,Wisconsin,DEMOCRAT (52.78%)
2013,Wisconsin,DEMOCRAT (52.78%)
2014,Wisconsin,DEMOCRAT (52.78%)
2015,Wisconsin,DEMOCRAT (52.78%)
2016,Wisconsin,REPUBLICAN (47.22%)
2017,Wisconsin,REPUBLICAN (47.22%)
2018,Wisconsin,REPUBLICAN (47.22%)
2019,Wisconsin,REPUBLICAN (47.22%)
2020,Wisconsin,DEMOCRAT (49.45%)
1976,Wyoming,REPUBLICAN (59.3%)
1977,Wyoming,REPUBLICAN (59.3%)
1978,Wyoming,REPUBLICAN (59.3%)
1979,Wyoming,REPUBLICAN (59.3%)
1980,Wyoming,REPUBLICAN (62.64%)
1981,Wyoming,REPUBLICAN (62.64%)
1982,Wyoming,REPUBLICAN (62.64%)
1983,Wyoming,REPUBLICAN (62.64%)
1984,Wyoming,REPUBLICAN (70.51%)
1985,Wyoming,REPUBLICAN (70.51%)
1986,Wyoming,REPUBLICAN (70.51%)
1987,Wyoming,REPUBLICAN (70.51%)
1988,Wyoming,REPUBLICAN (60.53%)
1989,Wyoming,REPUBLICAN (60.53%)
1990,Wyoming,REPUBLICAN (60.53%)
1991,Wyoming,REPUBLICAN (60.53%)
1992,Wyoming,REPUBLICAN (39.7%)
1993,Wyoming,REPUBLICAN (39.7%)
1994,Wyoming,REPUBLICAN (39.7%)
1995,Wyoming,REPUBLICAN (39.7%)
1996,Wyoming,REPUBLICAN (49.81%)
1997,Wyoming,REPUBLICAN (49.81%)
1998,Wyoming,REPUBLICAN (49.81%)
1999,Wyoming,REPUBLICAN (49.81%)
2000,Wyoming,REPUBLICAN (69.22%)
2001,Wyoming,REPUBLICAN (69.22%)
2002,Wyoming,REPUBLICAN (69.22%)
2003,Wyoming,REPUBLICAN (69.22%)
2004,Wyoming,REPUBLICAN (68.74%)
2005,Wyoming,REPUBLICAN (68.74%)
2006,Wyoming,REPUBLICAN (68.74%)
2007,Wyoming,REPUBLICAN (68.74%)
2008,Wyoming,REPUBLICAN (64.71%)
2009,Wyoming,REPUBLICAN (64.71%)
2010,Wyoming,REPUBLICAN (64.71%)
2011,Wyoming,REPUBLICAN (64.71%)
2012,Wyoming,REPUBLICAN (68.19%)
2013,Wyoming,REPUBLICAN (68.19%)
2014,Wyoming,REPUBLICAN (68.19%)
2015,Wyoming,REPUBLICAN (68.19%)
2016,Wyoming,REPUBLICAN (67.4%)
2017,Wyoming,REPUBLICAN (67.4%)
2018,Wyoming,REPUBLICAN (67.4%)
2019,Wyoming,REPUBLICAN (67.4%)
2020,Wyoming,REPUBLICAN (69.5%)
